1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,4,1,6,1,4,5,3,1,8,2,4,2,2,4,3,2,3,6,6,5,2,2,6,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,5,1,2,1,1,4,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,3,8,3,3,0,0,0,0,2,3,1,3,2,0,0,2,1,0,1,2,0,2,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,0,0,0,2,3,1,1,2,1,2,1,4,3,1,0,0,0,1,0,0,1,0,0,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,0,0,0,1,0,1,2,4,0,7,4,0,0,0,3,0,0,0,5,2,4,1,4,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,5,3,3,4,2,2,0,3,2,2,0,0,1,2,1,2,0,0,0,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,7,5,7,8,7,2,6,3,6,7,0,1,1,3,1,1,2,0,0,0,0,0,2,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,2,2,2,2,0,0,0,0,0,2,0,0,1,0,2,0,1,1,1,0,0,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,2,2,0,0,0,0,0,1,1,2,3,1,1,1,3,5,0,3,0,2,2,0,2,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,0,4,3,8,8,0,12,7,7,3,4,0,3,3,1,1,2,3,1,1,0,2,2,3,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,7,5,6,10,5,1,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,7,6,1,3,2,3,5,8,2,6,3,1,2,1,1,0,0,0,1,1,1,0,2,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,2,0,0,1,2,0,2,1,0,1,2,0,0,0,0,1,1,0,0,1,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,3,2,2,0,0,3,0,1,2,0,1,0,0,1,3,1,0,0,2,4,2,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
5,6,3,3,3,4,4,1,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,1,1,
