1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,1,0,0,0,1,1,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,0,1,0,2,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,6,4,1,3,1,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,1,1,0,1,1,0,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,5,1,3,2,2,0,2,3,4,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,1,9,4,1,0,4,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,2,6,4,3,0,4,1,1,5,7,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,15,16,22,17,22,17,5,22,2,22,22,42,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,6,6,10,13,0,2,3,1,4,2,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,1,2,0,0,0,1,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,4,4,3,2,1,1,1,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,4,1,4,0,1,0,0,2,1,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,5,2,3,0,0,2,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,1,0,1,0,1,0,0,1,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,5,3,2,1,1,3,1,5,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,1,0,1,0,1,0,0,2,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,4,18,15,25,11,6,9,9,20,18,10,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,5,5,8,4,8,8,1,8,2,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,3,5,1,0,0,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,3,4,6,7,1,6,4,1,3,5,5,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
6,3,1,0,5,0,1,1,2,2,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,8,5,4,3,13,8,9,13,20,25,28,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,4,7,4,6,4,4,4,1,1,6,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,1,1,6,2,2,1,2,2,2,3,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,0,0,2,0,1,1,2,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,1,4,0,1,1,0,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
3,6,10,6,37,33,14,19,17,23,27,26,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,5,1,1,5,0,1,3,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,0,3,0,0,1,0,2,2,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,1,4,4,4,2,2,3,3,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,4,4,5,1,1,2,0,0,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,2,4,2,1,1,5,2,5,8,16,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,0,1,1,0,0,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,4,6,1,8,1,3,2,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,3,3,1,0,0,1,3,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,4,1,2,1,0,2,4,2,3,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,2,0,0,0,1,1,0,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,5,2,0,1,2,0,0,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,2,1,1,1,0,0,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,0,2,0,2,0,1,0,1,1,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,3,1,1,0,1,0,0,0,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,1,3,9,2,1,1,2,1,0,2,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,1,1,0,0,1,1,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,1,2,1,3,2,1,0,0,1,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
4,1,1,0,0,2,0,1,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
4,1,3,0,0,2,1,1,1,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
4,3,4,4,0,0,1,0,1,2,0,1,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
5,1,2,0,7,1,0,1,0,0,0,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,2,1,1,3,0,0,1,0,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,0,2,0,1,0,1,2,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
5,3,3,4,1,0,2,1,0,1,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
